id,document_type,invoice_number,date_field,vehicle,weight,created_at
9a465aea-f578-4f78-a637-70714819be07,eft_receipt,MAT/UP/24-25/031,null,null,null,2025-10-05 11:57:45.738361+00
069feb87-bcc3-43b2-bcfc-1869c3c9e79c,eft_receipt,MAT/UP/24-25/030,null,null,null,2025-10-05 11:56:57.796186+00
c851c190-8aba-43a7-87ae-28e064990d3f,eft_receipt,MAT/UP/24-25/029,null,null,null,2025-10-05 11:55:48.216584+00
435b36d9-c787-4eea-aa71-8690e331426b,eft_receipt,MAT/UP/24-25/032,null,null,null,2025-10-05 11:54:41.134886+00
4193fb41-1ceb-471e-9424-a3e7393df349,invoice,MAT/UP/24-25/030,02-07-2024,RJ32GD6182,17270,2025-10-05 11:53:52.654291+00
a29ab940-c64c-4a16-ae1c-703ec862a66c,invoice,MAT/UP/24-25/032,02-07-2024,RJ32GD6181,18050,2025-10-05 11:53:18.400916+00
37a8fdb7-a3de-48fe-9f3f-f3c9c9427586,invoice,MAT/UP/24-25/029,02-07-2024,KA636642,16860,2025-10-05 11:52:54.297203+00
d095f7f8-c5ab-4860-95b8-5ec18dfbeab7,invoice,MAT/UP/24-25/031,02-07-2024,HR61E8505,18060,2025-10-05 11:52:26.30655+00
a3dc19d6-8aed-4b80-903c-edf53458ab73,e-way-bill,MAT/UP/24-25/032,02/07/2024 05:05 PM,null,null,2025-10-05 11:51:59.533903+00
423796e7-a2d5-4fc2-9461-f81477fec67e,e-way-bill,032,02/07/2024 05:05 pm,RJ32GD6181,18050,2025-10-05 11:51:36.456871+00
1b22c26a-fa74-4604-a572-276063c83d0e,e-way-bill,MAT/UP/24-25/031,02/07/2024 04:42 pm,null,null,2025-10-05 11:51:12.215952+00
f82a3329-c785-4126-8959-08c7d02e17e1,e-way-bill,031,02/07/2024 04:42 pm,HR61E8505,18060,2025-10-05 11:50:48.553183+00
d4d88b43-d0a0-4bfa-bfbc-7a6be062d474,e-way-bill,MAT/UP/24-25/030,02/07/2024 04:17 pm,null,null,2025-10-05 11:50:24.068474+00
97a96788-cfec-443f-98d0-c587cec65a58,e-way-bill,030,02/07/2024 04:17 pm,RJ32GD6182,17270,2025-10-05 11:50:04.432633+00
3ac54a8d-6180-4008-9d74-b3a27b86ea7a,e-way-bill,MAT/UP/24-25/029,02/07/2024 02:49 pm,null,null,2025-10-05 11:49:44.390314+00
2bcb275c-6fec-409f-b4e0-57a5d385d6b8,e-way-bill,029,02/07/2024 02:49 pm,KA636642,16860,2025-10-05 11:49:20.52428+00
